Model,Activation,Optimizer,SeqLen,GradClip,Epoch,Loss,Accuracy,F1,EpochTime(s),TotalTime(s)
LSTM,relu,sgd,50,No,3,0.6927,0.5312,0.5281,16.67,83.63
LSTM,relu,sgd,50,No,4,0.6918,0.5256,0.5018,16.58,83.63
LSTM,relu,sgd,50,No,5,0.6893,0.5432,0.5408,16.75,83.63
LSTM,relu,sgd,50,Yes,1,0.6931,0.5062,0.4042,16.83,83.64
LSTM,relu,sgd,50,Yes,2,0.693,0.5293,0.5293,16.71,83.64
LSTM,relu,sgd,50,Yes,3,0.6923,0.5318,0.5199,16.69,83.64
LSTM,relu,sgd,50,Yes,4,0.6913,0.5389,0.5279,16.69,83.64
LSTM,relu,sgd,50,Yes,5,0.6884,0.5536,0.5496,16.71,83.64
LSTM,relu,sgd,100,No,1,0.6935,0.5231,0.522,32.63,162.93
LSTM,relu,sgd,100,No,2,0.6927,0.5214,0.5096,32.64,162.93
LSTM,relu,sgd,100,No,3,0.6925,0.5119,0.432,32.58,162.93
LSTM,relu,sgd,100,No,4,0.6917,0.5219,0.4907,32.5,162.93
LSTM,relu,sgd,100,No,5,0.6909,0.528,0.5059,32.59,162.93
LSTM,relu,sgd,100,Yes,1,0.6933,0.5185,0.5158,33.42,166.44
LSTM,relu,sgd,100,Yes,2,0.6927,0.515,0.5061,33.19,166.44
LSTM,relu,sgd,100,Yes,3,0.6928,0.5212,0.5023,33.29,166.44
LSTM,relu,sgd,100,Yes,4,0.692,0.5193,0.4942,33.17,166.44
LSTM,relu,sgd,100,Yes,5,0.6917,0.5168,0.4399,33.37,166.44
LSTM,relu,rmsprop,25,No,1,0.6454,0.6782,0.6774,9.7,47.88
LSTM,relu,rmsprop,25,No,2,0.5547,0.6946,0.6926,9.53,47.88
LSTM,relu,rmsprop,25,No,3,0.4965,0.7223,0.7222,9.6,47.88
LSTM,relu,rmsprop,25,No,4,0.4426,0.728,0.7275,9.51,47.88
LSTM,relu,rmsprop,25,No,5,0.3942,0.7258,0.7255,9.54,47.88
LSTM,relu,rmsprop,25,Yes,1,0.6531,0.6664,0.6664,9.88,48.75
LSTM,relu,rmsprop,25,Yes,2,0.5655,0.6944,0.6915,9.74,48.75
LSTM,relu,rmsprop,25,Yes,3,0.5027,0.7069,0.7062,9.76,48.75
LSTM,relu,rmsprop,25,Yes,4,0.4516,0.7148,0.7138,9.64,48.75
LSTM,relu,rmsprop,25,Yes,5,0.4016,0.7161,0.7161,9.73,48.75
LSTM,relu,rmsprop,50,No,1,0.6572,0.6594,0.6414,17.36,86.24
LSTM,relu,rmsprop,50,No,2,0.554,0.6844,0.6727,17.22,86.24
LSTM,relu,rmsprop,50,No,3,0.48,0.7525,0.7516,17.19,86.24
LSTM,relu,rmsprop,50,No,4,0.4223,0.7558,0.7554,17.24,86.24
LSTM,relu,rmsprop,50,No,5,0.3746,0.7682,0.7682,17.23,86.24
LSTM,relu,rmsprop,50,Yes,1,0.6491,0.6542,0.6333,17.71,87.91
LSTM,relu,rmsprop,50,Yes,2,0.5363,0.7335,0.7302,17.55,87.91
LSTM,relu,rmsprop,50,Yes,3,0.4686,0.7503,0.7481,17.54,87.91
LSTM,relu,rmsprop,50,Yes,4,0.4111,0.7657,0.7656,17.56,87.91
LSTM,relu,rmsprop,50,Yes,5,0.3635,0.7701,0.7701,17.56,87.91
LSTM,relu,rmsprop,100,No,1,0.6675,0.667,0.6645,33.65,169.04
LSTM,relu,rmsprop,100,No,2,0.5614,0.6597,0.6287,33.52,169.04
LSTM,relu,rmsprop,100,No,3,0.4923,0.7783,0.7774,34.26,169.04
LSTM,relu,rmsprop,100,No,4,0.4502,0.7848,0.7835,33.91,169.04
LSTM,relu,rmsprop,100,No,5,0.3884,0.7828,0.778,33.7,169.04
LSTM,relu,rmsprop,100,Yes,1,0.6651,0.6724,0.6724,34.06,169.88
LSTM,relu,rmsprop,100,Yes,2,0.5663,0.7422,0.7421,33.88,169.88
LSTM,relu,rmsprop,100,Yes,3,0.4829,0.7784,0.7778,33.86,169.88
LSTM,relu,rmsprop,100,Yes,4,0.4076,0.7941,0.7936,34.2,169.88
LSTM,relu,rmsprop,100,Yes,5,0.3577,0.8133,0.8132,33.88,169.88
BILSTM,relu,adam,25,No,1,0.6573,0.6577,0.6573,18.77,92.39
BILSTM,relu,adam,25,No,2,0.5563,0.7078,0.7078,18.58,92.39
BILSTM,relu,adam,25,No,3,0.4825,0.7128,0.7123,18.36,92.39
BILSTM,relu,adam,25,No,4,0.4191,0.7223,0.7223,18.35,92.39
BILSTM,relu,adam,25,No,5,0.3579,0.7224,0.7223,18.33,92.39
BILSTM,relu,adam,25,Yes,1,0.6629,0.6619,0.6617,18.74,93.37
BILSTM,relu,adam,25,Yes,2,0.5676,0.6989,0.6976,18.74,93.37
BILSTM,relu,adam,25,Yes,3,0.489,0.713,0.7128,18.65,93.37
BILSTM,relu,adam,25,Yes,4,0.4239,0.72,0.7198,18.55,93.37
BILSTM,relu,adam,25,Yes,5,0.3612,0.7199,0.7194,18.68,93.37
BILSTM,relu,adam,50,No,1,0.6803,0.5776,0.5569,34.45,171.58
BILSTM,relu,adam,50,No,2,0.6417,0.6886,0.6885,33.6,171.58
BILSTM,relu,adam,50,No,3,0.5395,0.7334,0.7334,34.54,171.58
BILSTM,relu,adam,50,No,4,0.4706,0.7511,0.7506,34.44,171.58
BILSTM,relu,adam,50,No,5,0.4039,0.7498,0.7477,34.55,171.58
BILSTM,relu,adam,50,Yes,1,0.6767,0.658,0.657,33.94,175.32
BILSTM,relu,adam,50,Yes,2,0.5726,0.7241,0.7235,35.15,175.32
BILSTM,relu,adam,50,Yes,3,0.4758,0.7496,0.7494,35.23,175.32
BILSTM,relu,adam,50,Yes,4,0.4009,0.766,0.766,35.6,175.32
BILSTM,relu,adam,50,Yes,5,0.3387,0.7654,0.7651,35.39,175.32
BILSTM,relu,adam,100,No,1,0.6891,0.6011,0.5947,69.89,349.25
BILSTM,relu,adam,100,No,2,0.627,0.7336,0.7336,69.71,349.25
BILSTM,relu,adam,100,No,3,0.5088,0.7303,0.7279,69.98,349.25
BILSTM,relu,adam,100,No,4,0.429,0.7921,0.792,69.84,349.25
BILSTM,relu,adam,100,No,5,0.3664,0.801,0.8008,69.83,349.25
BILSTM,relu,adam,100,Yes,1,0.6887,0.5414,0.5375,70.55,351.84
BILSTM,relu,adam,100,Yes,2,0.6255,0.7318,0.7313,70.75,351.84
BILSTM,relu,adam,100,Yes,3,0.4911,0.7841,0.7836,70.27,351.84
BILSTM,relu,adam,100,Yes,4,0.3951,0.7998,0.7993,70.14,351.84
BILSTM,relu,adam,100,Yes,5,0.3374,0.811,0.8109,70.14,351.84
BILSTM,relu,sgd,25,No,1,0.6935,0.5206,0.4934,16.7,83.13
BILSTM,relu,sgd,25,No,2,0.6928,0.5263,0.5075,16.66,83.13
BILSTM,relu,sgd,25,No,3,0.6923,0.507,0.3708,16.6,83.13
BILSTM,relu,sgd,25,No,4,0.6917,0.5352,0.5111,16.55,83.13
BILSTM,relu,sgd,25,No,5,0.6891,0.5484,0.548,16.61,83.13
BILSTM,relu,sgd,25,Yes,1,0.6934,0.5034,0.3977,17.4,86.24
BILSTM,relu,sgd,25,Yes,2,0.693,0.5072,0.3912,17.25,86.24
BILSTM,relu,sgd,25,Yes,3,0.6925,0.5081,0.3798,17.29,86.24
BILSTM,relu,sgd,25,Yes,4,0.6913,0.534,0.5118,17.08,86.24
BILSTM,relu,sgd,25,Yes,5,0.6891,0.5472,0.5469,17.22,86.24
BILSTM,relu,sgd,50,No,1,0.6934,0.5022,0.3608,33.15,165.69
